participant_id,random_id,condition,trial_index,trial_number,time_elapsed,stimulus,object_id,stimulus_type,response,correct_response,correct_response_key,correct,is_right,rt,participant_thoughts,participant_difficulties
gorilla,p01pepaop6w,bigger,7,1,31142,stimuli/5-Inongruent.jpg,5,incongruent,m,right,m,TRUE,1,2643,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,10,2,34000,stimuli/30-Congruent.jpg,30,congruent,z,left,z,TRUE,1,947,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,13,3,36848,stimuli/30-Congruent.jpg,30,congruent,z,left,z,TRUE,1,939,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,16,4,39556,stimuli/34-Inongruent.jpg,34,incongruent,m,right,m,TRUE,1,790,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,19,5,42054,stimuli/24-Inongruent.jpg,24,incongruent,m,right,m,TRUE,1,575,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,22,6,44461,stimuli/14-Congruent.jpg,14,congruent,z,left,z,TRUE,1,489,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,25,7,46888,stimuli/14-Inongruent.jpg,14,incongruent,m,right,m,TRUE,1,512,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,28,8,49197,stimuli/28-Inongruent.jpg,28,incongruent,m,right,m,TRUE,1,395,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,31,9,51464,stimuli/20-Congruent.jpg,20,congruent,z,left,z,TRUE,1,333,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,34,10,53776,stimuli/25-Congruent.jpg,25,congruent,z,left,z,TRUE,1,401,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,37,11,56051,stimuli/27-Congruent.jpg,27,congruent,z,left,z,TRUE,1,363,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,40,12,58360,stimuli/18-Inongruent.jpg,18,incongruent,m,right,m,TRUE,1,383,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,43,13,60729,stimuli/13-Inongruent.jpg,13,incongruent,m,right,m,TRUE,1,455,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,46,14,62960,stimuli/23-Congruent.jpg,23,congruent,z,left,z,TRUE,1,305,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,49,15,65236,stimuli/34-Inongruent.jpg,34,incongruent,m,right,m,TRUE,1,359,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,52,16,67513,stimuli/9-Inongruent.jpg,9,incongruent,m,right,m,TRUE,1,355,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,55,17,69803,stimuli/13-Congruent.jpg,13,congruent,z,left,z,TRUE,1,377,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,58,18,72063,stimuli/6-Inongruent.jpg,6,incongruent,m,right,m,TRUE,1,342,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,61,19,74387,stimuli/20-Inongruent.jpg,20,incongruent,m,right,m,TRUE,1,394,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,64,20,76701,stimuli/2-Congruent.jpg,2,congruent,z,left,z,TRUE,1,398,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,67,21,78981,stimuli/29-Inongruent.jpg,29,incongruent,m,right,m,TRUE,1,355,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,70,22,81312,stimuli/34-Congruent.jpg,34,congruent,z,left,z,TRUE,1,421,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,73,23,83683,stimuli/1-Congruent.jpg,1,congruent,z,left,z,TRUE,1,459,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,76,24,85981,stimuli/36-Inongruent.jpg,36,incongruent,m,right,m,TRUE,1,379,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,79,25,88316,stimuli/13-Congruent.jpg,13,congruent,z,left,z,TRUE,1,418,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,82,26,90536,stimuli/32-Inongruent.jpg,32,incongruent,m,right,m,TRUE,1,304,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,85,27,92830,stimuli/4-Inongruent.jpg,4,incongruent,m,right,m,TRUE,1,361,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,88,28,95154,stimuli/21-Congruent.jpg,21,congruent,z,left,z,TRUE,1,396,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,91,29,97371,stimuli/22-Inongruent.jpg,22,incongruent,m,right,m,TRUE,1,295,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,94,30,99639,stimuli/23-Congruent.jpg,23,congruent,z,left,z,TRUE,1,331,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,97,31,101988,stimuli/33-Inongruent.jpg,33,incongruent,m,right,m,TRUE,1,411,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,100,32,104204,stimuli/4-Inongruent.jpg,4,incongruent,m,right,m,TRUE,1,301,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,103,33,106476,stimuli/17-Inongruent.jpg,17,incongruent,m,right,m,TRUE,1,359,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,106,34,108764,stimuli/33-Congruent.jpg,33,congruent,z,left,z,TRUE,1,369,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
gorilla,p01pepaop6w,bigger,109,35,111130,stimuli/3-Congruent.jpg,3,congruent,z,left,z,TRUE,1,449,To test whether real-world knowledge of which object is bigger affects participant speed/ accuracy of determining which image is bigger (may or may not correspond to real world proportions),No
