"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1326","fullscreen","0","null","2328","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","","","","","","","","",""
"","5018","html-keyboard-response","1","2.0.0","7346","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","Welcome to the Size Stroop experiment. Press any key to begin.","b","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","8359","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","2930","survey-text","3","2.0.0","11290","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","","{""participant_id"":""raccoon""}","","","","","","",""
"","1431","html-keyboard-response","4","2.0.0","12722","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","13056","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","14070","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","808","image-keyboard-response","7","2.0.0","14882","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","stimuli/13-Inongruent.jpg","m","","","","","left","z","false"
"","null","html-keyboard-response","8","2.0.0","19891","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","20906","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","662","image-keyboard-response","10","2.0.0","21570","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","stimuli/22-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","22475","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","23487","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","545","image-keyboard-response","13","2.0.0","24034","p0c3y7vydr1","smaller","raccoon","see how size affects our perception","no","stimuli/26-Inongruent.jpg","z","","","","","left","z","true"
