"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1911","fullscreen","0","null","2916","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","","","","","","","","",""
"","2334","html-keyboard-response","1","2.0.0","5252","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","6254","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","This trial will be in fullscreen mode.","null","","","","","","",""
"","4187","survey-text","3","2.0.0","10444","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","","{""participant_id"":""2341""}","","","","","","",""
"","18956","html-keyboard-response","4","2.0.0","29401","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","29903","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","30905","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2009","image-keyboard-response","7","2.0.0","32917","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","stimuli/29-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","33820","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","34823","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1693","image-keyboard-response","10","2.0.0","36517","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","stimuli/17-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","37419","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","38422","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","844","image-keyboard-response","13","2.0.0","39268","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","stimuli/35-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","40169","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","41172","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","984","image-keyboard-response","16","2.0.0","42157","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","stimuli/27-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","17","2.0.0","43059","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","44060","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1386","image-keyboard-response","19","2.0.0","45447","p159pw1yfrp","bigger","2341","size comparision recognition timed","NA","stimuli/1-Congruent.jpg","z","","","","","left","z","true"
