"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1735","fullscreen","0","null","2738","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","","","","","","","","",""
"","2859","html-keyboard-response","1","2.0.0","5599","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","6603","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","This trial will be in fullscreen mode.","null","","","","","","",""
"","2268","survey-text","3","2.0.0","8874","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","","{""participant_id"":"" squirrel""}","","","","","","",""
"","53191","html-keyboard-response","4","2.0.0","62065","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","62332","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","63334","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","662","image-keyboard-response","7","2.0.0","63999","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","stimuli/11-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","64902","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","65905","p1do82kqf48","smaller"," squirrel","The purpose of this experiment was to test how accurate and how fast you are able to respond given a change in perspective and size on specific images. ","When selected an incorrect image, when you press another key again it forces you back into the experiment instead of waiting for 5 seconds.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
