"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","792","fullscreen","0","null","1795","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","","","","","","","","",""
"","4397","html-keyboard-response","1","2.0.0","6194","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","Welcome to the Size Stroop experiment. Press any key to begin.","v","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","7197","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","1634","survey-text","3","2.0.0","8836","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","","{""participant_id"":""antelope""}","","","","","","",""
"","8630","html-keyboard-response","4","2.0.0","17467","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>","h","","","","","","",""
"true","","preload","5","2.0.0","17501","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","18504","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1951","image-keyboard-response","7","2.0.0","20459","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/21-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","21362","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","22365","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2984","image-keyboard-response","10","2.0.0","25351","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/1-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","26254","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","27256","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","3263","image-keyboard-response","13","2.0.0","30522","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/4-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","31425","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","32428","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2319","image-keyboard-response","16","2.0.0","34749","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/12-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","35651","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","36654","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","23730","image-keyboard-response","19","2.0.0","60385","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/36-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","61287","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","62289","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","908","image-keyboard-response","22","2.0.0","63199","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/20-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","64102","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","65104","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","951","image-keyboard-response","25","2.0.0","66058","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/36-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","26","2.0.0","66960","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","67963","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","763","image-keyboard-response","28","2.0.0","68728","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/22-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","29","2.0.0","69631","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","70633","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1528","image-keyboard-response","31","2.0.0","72163","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/14-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","32","2.0.0","73066","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","74068","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","736","image-keyboard-response","34","2.0.0","74807","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/9-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","35","2.0.0","75710","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","76713","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","792","image-keyboard-response","37","2.0.0","77507","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/30-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","38","2.0.0","78410","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","79413","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1002","image-keyboard-response","40","2.0.0","80417","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/20-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","41","2.0.0","81319","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","82322","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","250746","image-keyboard-response","43","2.0.0","5726346","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/1-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","44","2.0.0","5727249","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","5728252","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1329","image-keyboard-response","46","2.0.0","5729583","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/33-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","47","2.0.0","5730486","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","5731488","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","807","image-keyboard-response","49","2.0.0","5732296","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/7-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","50","2.0.0","5733198","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","5734201","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","598","image-keyboard-response","52","2.0.0","5734801","p2pxoypm5n6","bigger","antelope","testing us, to see whether I could determine which of the two pictures being presented is bigger  ","no","stimuli/9-Congruent.jpg","z","","","","","left","z","true"
