"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","136238","fullscreen","0","null","137243","p32p2a4fdbw","bigger","herson","accuracy test","no","","","","","","","","",""
"","1618","html-keyboard-response","1","2.0.0","138861","p32p2a4fdbw","bigger","herson","accuracy test","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","139866","p32p2a4fdbw","bigger","herson","accuracy test","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","2012","survey-text","3","2.0.0","141880","p32p2a4fdbw","bigger","herson","accuracy test","no","","{""participant_id"":""herson""}","","","","","","",""
"","6223","html-keyboard-response","4","2.0.0","148103","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","148901","p32p2a4fdbw","bigger","herson","accuracy test","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","149915","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","746","image-keyboard-response","7","2.0.0","150663","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/16-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","151567","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","152582","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","523","image-keyboard-response","10","2.0.0","153106","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/15-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","154016","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","155020","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","522","image-keyboard-response","13","2.0.0","155542","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/18-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","156451","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","157465","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","459","image-keyboard-response","16","2.0.0","157925","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/25-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","17","2.0.0","158838","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","159851","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","498","image-keyboard-response","19","2.0.0","160350","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/29-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","20","2.0.0","161257","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","162273","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","445","image-keyboard-response","22","2.0.0","162718","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/27-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","163626","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","164640","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","481","image-keyboard-response","25","2.0.0","165123","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/26-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","26","2.0.0","166028","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","167042","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","476","image-keyboard-response","28","2.0.0","167518","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/12-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","168428","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","169431","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","490","image-keyboard-response","31","2.0.0","169922","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/24-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","32","2.0.0","170837","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","171853","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","377","image-keyboard-response","34","2.0.0","172231","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/10-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","35","2.0.0","173144","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","174159","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","380","image-keyboard-response","37","2.0.0","174540","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/32-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","38","2.0.0","175456","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","176471","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","262","image-keyboard-response","40","2.0.0","176734","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/8-Inongruent.jpg","z","","","","","right","m","false"
"","null","html-keyboard-response","41","2.0.0","181737","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Incorrect.</p><p>Remember to select the <b>bigger</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","182749","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","418","image-keyboard-response","43","2.0.0","183167","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/8-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","44","2.0.0","184074","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","185089","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","394","image-keyboard-response","46","2.0.0","185483","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/21-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","47","2.0.0","186396","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","187406","p32p2a4fdbw","bigger","herson","accuracy test","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","371","image-keyboard-response","49","2.0.0","187778","p32p2a4fdbw","bigger","herson","accuracy test","no","stimuli/33-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","50","2.0.0","188685","p32p2a4fdbw","bigger","herson","accuracy test","no","<p>Correct!</p>","null","","","","","","",""
