"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","9653","fullscreen","0","null","10656","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","","","","","","","","",""
"","1796","html-keyboard-response","1","2.0.0","12453","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","Welcome to the Size Stroop experiment. Press any key to begin.","ArrowRight","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","13456","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","This trial will be in fullscreen mode.","null","","","","","","",""
"","5623","survey-text","3","2.0.0","19083","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","","{""participant_id"":""eagle""}","","","","","","",""
"","8539","html-keyboard-response","4","2.0.0","27623","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>","ArrowRight","","","","","","",""
"true","","preload","5","2.0.0","28051","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","29053","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","3184","image-keyboard-response","7","2.0.0","32241","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/34-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","33145","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","34148","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1415","image-keyboard-response","10","2.0.0","35566","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/14-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","36469","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","37478","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","623","image-keyboard-response","13","2.0.0","38104","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/4-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","39006","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","40008","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","582","image-keyboard-response","16","2.0.0","40591","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/10-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","41494","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","42496","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","596","image-keyboard-response","19","2.0.0","43095","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/33-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","20","2.0.0","43997","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","45000","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1194","image-keyboard-response","22","2.0.0","46194","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/25-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","47096","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","48099","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1256","image-keyboard-response","25","2.0.0","49357","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/8-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","26","2.0.0","50260","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","51264","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","568","image-keyboard-response","28","2.0.0","51835","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","stimuli/20-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","52738","p3byua2l2w5","smaller","eagle","See if the size of an item in reality gets in the way when shown two images.","No.","<p>Correct!</p>","null","","","","","","",""
