"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1725","fullscreen","0","null","2739","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","","","","","","","","",""
"","1394","html-keyboard-response","1","2.0.0","4137","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","5155","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","This trial will be in fullscreen mode.","null","","","","","","",""
"","4458","survey-text","3","2.0.0","9623","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","","{""participant_id"":"" Beaver""}","","","","","","",""
"","14009","html-keyboard-response","4","2.0.0","23634","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","24078","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","25084","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2172","image-keyboard-response","7","2.0.0","27264","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/36-Inongruent.jpg","m","","","","","left","z","false"
"","4729","html-keyboard-response","8","2.0.0","31995","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>"," ","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","33013","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","4598","image-keyboard-response","10","2.0.0","37614","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/19-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","38519","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","39528","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2115","image-keyboard-response","13","2.0.0","41645","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/35-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","42550","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","43559","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1051","image-keyboard-response","16","2.0.0","44613","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/16-Inongruent.jpg","m","","","","","left","z","false"
"","null","html-keyboard-response","17","2.0.0","49617","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","50624","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1227","image-keyboard-response","19","2.0.0","51854","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/11-Inongruent.jpg","m","","","","","left","z","false"
"","null","html-keyboard-response","20","2.0.0","56861","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","57871","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1411","image-keyboard-response","22","2.0.0","59284","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/9-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","60190","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","61195","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1228","image-keyboard-response","25","2.0.0","62424","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/24-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","26","2.0.0","63330","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","64338","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","834","image-keyboard-response","28","2.0.0","65174","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/32-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","66078","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","67091","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1262","image-keyboard-response","31","2.0.0","68355","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/29-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","32","2.0.0","69268","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","70274","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1238","image-keyboard-response","34","2.0.0","71515","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/36-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","35","2.0.0","72420","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","73423","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1069","image-keyboard-response","37","2.0.0","74495","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/10-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","38","2.0.0","75397","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","76402","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","851","image-keyboard-response","40","2.0.0","77255","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/24-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","41","2.0.0","78158","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","79171","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","802","image-keyboard-response","43","2.0.0","79974","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/25-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","44","2.0.0","80878","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","81891","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","721","image-keyboard-response","46","2.0.0","82614","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/32-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","47","2.0.0","83520","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","84530","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","823","image-keyboard-response","49","2.0.0","85355","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/23-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","50","2.0.0","86269","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","87274","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1420","image-keyboard-response","52","2.0.0","88697","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/10-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","53","2.0.0","89599","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","90604","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","918","image-keyboard-response","55","2.0.0","91525","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/35-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","56","2.0.0","92430","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","93438","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","696","image-keyboard-response","58","2.0.0","94137","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/23-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","59","2.0.0","95050","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","96056","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","758","image-keyboard-response","61","2.0.0","96816","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","stimuli/21-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","62","2.0.0","97721","p49qjge5k3r","smaller"," Beaver","The purpose was to see if I could point out the smaller image without basing it on the actual scale size of the objects shown. ","N/A","<p>Correct!</p>","null","","","","","","",""
