"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","3463","fullscreen","0","null","4467","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","","","","","","","","",""
"","8702","html-keyboard-response","1","2.0.0","13171","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","Welcome to the Size Stroop experiment. Press any key to begin.","Enter","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","14175","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","3149","survey-text","3","2.0.0","17350","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","","{""participant_id"":""panda""}","","","","","","",""
"","14599","html-keyboard-response","4","2.0.0","31950","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>","Enter","","","","","","",""
"true","","preload","5","2.0.0","33398","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","34401","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1332","image-keyboard-response","7","2.0.0","35743","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","stimuli/4-Congruent.jpg","z","","","","","right","m","false"
"","null","html-keyboard-response","8","2.0.0","40747","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","41751","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1126","image-keyboard-response","10","2.0.0","42886","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","stimuli/12-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","43789","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","44793","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1582","image-keyboard-response","13","2.0.0","46385","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","stimuli/33-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","47289","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","48293","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","703","image-keyboard-response","16","2.0.0","49004","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","stimuli/21-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","49907","p6k37xnjjoz","smaller","panda","Something to do with visual perception","no","<p>Correct!</p>","null","","","","","","",""
