"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1247","fullscreen","0","null","2264","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","","","","","","","","",""
"","1418","html-keyboard-response","1","2.0.0","3683","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","692","html-keyboard-response","2","2.0.0","4375","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","This trial will be in fullscreen mode."," ","","","","","","",""
"","2440","survey-text","3","2.0.0","6818","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","","{""participant_id"":""koala""}","","","","","","",""
"","16491","html-keyboard-response","4","2.0.0","23311","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>","m","","","","","","",""
"true","","preload","5","2.0.0","23321","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","24330","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1207","image-keyboard-response","7","2.0.0","25538","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/18-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","26448","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","27461","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
