"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1402","fullscreen","0","null","2416","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","","","","","","","","",""
"","901","html-keyboard-response","1","2.0.0","3319","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4327","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","This trial will be in fullscreen mode.","null","","","","","","",""
"","4974","survey-text","3","2.0.0","9306","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","","{""participant_id"":"" penguin""}","","","","","","",""
"","6126","html-keyboard-response","4","2.0.0","15433","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","15594","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","16606","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","863","image-keyboard-response","7","2.0.0","17474","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","stimuli/29-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","18387","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","19401","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","717","image-keyboard-response","10","2.0.0","20121","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","stimuli/20-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","21038","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","22053","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","572","image-keyboard-response","13","2.0.0","22627","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","stimuli/12-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","23534","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","24551","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","521","image-keyboard-response","16","2.0.0","25074","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","stimuli/24-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","25989","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","27004","p6xl036oqq0","bigger"," penguin","To test whether the real life ""size"" of items would effect the way they are determined on a computer screen.","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
