"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1427","fullscreen","0","null","2429","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","","","","","","","","",""
"","2306","html-keyboard-response","1","2.0.0","4736","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","5738","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","4484","survey-text","3","2.0.0","10223","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","","{""participant_id"":""pelican""}","","","","","","",""
"","10489","html-keyboard-response","4","2.0.0","20713","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","20791","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","21793","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1101","image-keyboard-response","7","2.0.0","22898","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","stimuli/6-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","23801","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","24804","p7pth7yjlry","bigger","pelican","prior knowledge can influence our processing of information that's in front of us","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
