"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1692","fullscreen","0","null","2715","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","","","","","","","","",""
"","467","html-keyboard-response","1","2.0.0","3182","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","Welcome to the Size Stroop experiment. Press any key to begin.","AudioVolumeDown","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4185","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","1494","survey-text","3","2.0.0","5720","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","","{""participant_id"":""A1""}","","","","","","",""
"","6797","html-keyboard-response","4","2.0.0","12518","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>","Enter","","","","","","",""
"true","","preload","5","2.0.0","12927","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","13939","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1813","image-keyboard-response","7","2.0.0","15758","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/13-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","16665","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","17675","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1043","image-keyboard-response","10","2.0.0","18723","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/28-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","19688","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","20690","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","480","image-keyboard-response","13","2.0.0","21177","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/29-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","22091","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","23093","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","875","image-keyboard-response","16","2.0.0","23973","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/8-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","24881","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","25888","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","572","image-keyboard-response","19","2.0.0","26466","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/5-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","27369","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","28382","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","773","image-keyboard-response","22","2.0.0","29162","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/19-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","23","2.0.0","30064","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","31190","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","588","image-keyboard-response","25","2.0.0","31785","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/25-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","26","2.0.0","32690","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","33705","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","912","image-keyboard-response","28","2.0.0","34622","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/33-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","29","2.0.0","35526","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","36537","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","720","image-keyboard-response","31","2.0.0","37263","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","stimuli/12-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","32","2.0.0","38250","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","39257","p9gaua7n50t","bigger","A1","if image sizes made a difference to reaction time (bigger images meant you react faster?)","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
