"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","2244","fullscreen","0","null","3250","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","","","","","","","","",""
"","2123","html-keyboard-response","1","2.0.0","5375","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","Welcome to the Size Stroop experiment. Press any key to begin.","m","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","6379","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","This trial will be in fullscreen mode.","null","","","","","","",""
"","3864","survey-text","3","2.0.0","10262","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","","{""participant_id"":""otter""}","","","","","","",""
"","10093","html-keyboard-response","4","2.0.0","20356","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>","z","","","","","","",""
"true","","preload","5","2.0.0","21002","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","22005","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2362","image-keyboard-response","7","2.0.0","24380","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/36-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","25284","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","26288","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1444","image-keyboard-response","10","2.0.0","27743","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/35-Congruent.jpg","z","","","","","right","m","false"
"","null","html-keyboard-response","11","2.0.0","32747","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","33750","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1410","image-keyboard-response","13","2.0.0","35171","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/16-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","36074","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","37078","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","768","image-keyboard-response","16","2.0.0","37856","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/23-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","17","2.0.0","38758","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","39760","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1985","image-keyboard-response","19","2.0.0","41756","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/13-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","42659","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","43662","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1253","image-keyboard-response","22","2.0.0","44926","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/10-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","45829","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","46831","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","792","image-keyboard-response","25","2.0.0","47634","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/28-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","26","2.0.0","48537","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","49540","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1071","image-keyboard-response","28","2.0.0","50620","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/15-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","51524","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","52527","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","703","image-keyboard-response","31","2.0.0","53239","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/2-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","32","2.0.0","54142","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","55146","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","651","image-keyboard-response","34","2.0.0","55807","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/8-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","35","2.0.0","56709","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","57712","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","874","image-keyboard-response","37","2.0.0","58596","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/29-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","38","2.0.0","59499","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","60501","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","536","image-keyboard-response","40","2.0.0","61047","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/34-Congruent.jpg","m","","","","","right","m","true"
"","206","html-keyboard-response","41","2.0.0","61255","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","m","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","62259","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","663","image-keyboard-response","43","2.0.0","62932","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/5-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","44","2.0.0","63835","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","64838","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","836","image-keyboard-response","46","2.0.0","65684","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/17-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","47","2.0.0","66586","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","67588","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","655","image-keyboard-response","49","2.0.0","68256","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/1-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","50","2.0.0","69158","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","70161","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1204","image-keyboard-response","52","2.0.0","71368","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/10-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","53","2.0.0","72271","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","73274","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","757","image-keyboard-response","55","2.0.0","74034","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/28-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","56","2.0.0","74938","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","75940","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1013","image-keyboard-response","58","2.0.0","76964","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/24-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","59","2.0.0","77866","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","78869","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","613","image-keyboard-response","61","2.0.0","79492","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/18-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","62","2.0.0","80394","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","81397","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1105","image-keyboard-response","64","2.0.0","82513","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/36-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","65","2.0.0","83416","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","84420","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","943","image-keyboard-response","67","2.0.0","85373","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/27-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","68","2.0.0","86276","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","87279","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","557","image-keyboard-response","70","2.0.0","87846","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/26-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","71","2.0.0","88749","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","89752","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","812","image-keyboard-response","73","2.0.0","90574","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/8-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","74","2.0.0","91477","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","92479","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","776","image-keyboard-response","76","2.0.0","93267","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","stimuli/19-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","77","2.0.0","94170","pb28mlq07mx","smaller","otter","I think the purpose of this experiment was to see if we could get the smaller image even if the subject was objectively bigger in our minds.","No","<p>Correct!</p>","null","","","","","","",""
