"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1033","fullscreen","0","null","2038","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","","","","","","","","",""
"","1248","html-keyboard-response","1","2.0.0","3288","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4292","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","4384","survey-text","3","2.0.0","8681","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","","{""participant_id"":""cheetah""}","","","","","","",""
"","10877","html-keyboard-response","4","2.0.0","19560","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","20153","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","21154","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1312","image-keyboard-response","7","2.0.0","22472","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","stimuli/36-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","23376","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","24379","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","878","image-keyboard-response","10","2.0.0","25260","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","stimuli/8-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","26163","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","27166","pcsplmypgbo","bigger","cheetah","Something about trying to see if our knowledge of the object affects our task?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
