"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","8152","fullscreen","0","null","9176","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","","","","","","","","",""
"","988","html-keyboard-response","1","2.0.0","10168","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","Welcome to the Size Stroop experiment. Press any key to begin.","Enter","","","","","","",""
"","613","html-keyboard-response","2","2.0.0","10783","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","This trial will be in fullscreen mode.","Enter","","","","","","",""
"","2007","survey-text","3","2.0.0","12798","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","","{""participant_id"":""manatee""}","","","","","","",""
"","7256","html-keyboard-response","4","2.0.0","20057","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>","Enter","","","","","","",""
"true","","preload","5","2.0.0","20498","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","21500","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","765","image-keyboard-response","7","2.0.0","22279","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","stimuli/4-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","23199","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","24213","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","572","image-keyboard-response","10","2.0.0","24792","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","stimuli/10-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","25705","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","26711","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","513","image-keyboard-response","13","2.0.0","27231","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","stimuli/24-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","28139","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","29147","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","444","image-keyboard-response","16","2.0.0","29595","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","stimuli/12-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","17","2.0.0","30500","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","31507","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","463","image-keyboard-response","19","2.0.0","31986","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","stimuli/30-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","32900","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","33920","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","502","image-keyboard-response","22","2.0.0","34430","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","stimuli/6-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","23","2.0.0","35350","pczzlpcvrs0","bigger","manatee","To see how quickly we can react to image sizes","","<p>Correct!</p>","null","","","","","","",""
