"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1691","fullscreen","0","null","2700","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","","","","","","","","",""
"","1033","html-keyboard-response","1","2.0.0","3735","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4738","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","4226","survey-text","3","2.0.0","8975","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","","{""participant_id"":""hedgehog""}","","","","","","",""
"","5340","html-keyboard-response","4","2.0.0","14318","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","15664","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","16672","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1275","image-keyboard-response","7","2.0.0","17953","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","stimuli/1-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","18862","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","19877","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1372","image-keyboard-response","10","2.0.0","21251","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","stimuli/24-Inongruent.jpg","z","","","","","right","m","false"
"","null","html-keyboard-response","11","2.0.0","26265","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<p>Incorrect.</p><p>Remember to select the <b>bigger</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","27281","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","771","image-keyboard-response","13","2.0.0","28054","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","stimuli/22-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","28968","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","29984","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","957","image-keyboard-response","16","2.0.0","30943","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","stimuli/10-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","31859","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","32864","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","451","image-keyboard-response","19","2.0.0","33318","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","stimuli/34-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","20","2.0.0","34227","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","35230","pd5pthroaou","bigger","hedgehog","like the stroop experiment but for size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
