"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1762","fullscreen","0","null","2770","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","","","","","","","","",""
"","1373","html-keyboard-response","1","2.0.0","4145","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","5149","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","3706","survey-text","3","2.0.0","8861","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","","{""participant_id"":"" turtle""}","","","","","","",""
"","3977","html-keyboard-response","4","2.0.0","12839","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","13176","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","14187","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","431","image-keyboard-response","7","2.0.0","14623","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/3-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","15531","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","16537","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","416","image-keyboard-response","10","2.0.0","16955","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/23-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","17861","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","18866","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","412","image-keyboard-response","13","2.0.0","19280","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/6-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","20186","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","21192","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","383","image-keyboard-response","16","2.0.0","21577","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/16-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","22484","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","23490","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","568","image-keyboard-response","19","2.0.0","24061","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/36-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","20","2.0.0","24968","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","25974","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","462","image-keyboard-response","22","2.0.0","26439","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/1-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","23","2.0.0","27342","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","28344","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","619","image-keyboard-response","25","2.0.0","28964","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/2-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","26","2.0.0","29871","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","30877","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","657","image-keyboard-response","28","2.0.0","31535","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/34-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","32438","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","33443","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","451","image-keyboard-response","31","2.0.0","33895","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/1-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","32","2.0.0","34796","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","35802","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","614","image-keyboard-response","34","2.0.0","36418","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","stimuli/16-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","35","2.0.0","37322","pd7te4rv8m5","smaller"," turtle","to see if we automatically process item size","no","<p>Correct!</p>","null","","","","","","",""
