"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1147","fullscreen","0","null","2152","pgfjabr4hpf","smaller","badger","","","","","","","","","","",""
"","908","html-keyboard-response","1","2.0.0","3061","pgfjabr4hpf","smaller","badger","","","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4064","pgfjabr4hpf","smaller","badger","","","This trial will be in fullscreen mode.","null","","","","","","",""
"","1810","survey-text","3","2.0.0","5882","pgfjabr4hpf","smaller","badger","","","","{""participant_id"":""badger""}","","","","","","",""
"","12973","html-keyboard-response","4","2.0.0","18856","pgfjabr4hpf","smaller","badger","","","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","19289","pgfjabr4hpf","smaller","badger","","","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","20291","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","5692","image-keyboard-response","7","2.0.0","25988","pgfjabr4hpf","smaller","badger","","","stimuli/35-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","26891","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","27895","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1814","image-keyboard-response","10","2.0.0","29711","pgfjabr4hpf","smaller","badger","","","stimuli/6-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","30613","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","31615","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1627","image-keyboard-response","13","2.0.0","33244","pgfjabr4hpf","smaller","badger","","","stimuli/27-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","34145","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","35148","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","914","image-keyboard-response","16","2.0.0","36064","pgfjabr4hpf","smaller","badger","","","stimuli/19-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","36967","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","37969","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1744","image-keyboard-response","19","2.0.0","39715","pgfjabr4hpf","smaller","badger","","","stimuli/26-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","20","2.0.0","40618","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","41621","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","868","image-keyboard-response","22","2.0.0","42492","pgfjabr4hpf","smaller","badger","","","stimuli/35-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","43394","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","44397","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","806","image-keyboard-response","25","2.0.0","45205","pgfjabr4hpf","smaller","badger","","","stimuli/36-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","26","2.0.0","46107","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","47110","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","605","image-keyboard-response","28","2.0.0","47717","pgfjabr4hpf","smaller","badger","","","stimuli/1-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","48619","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","49622","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","731","image-keyboard-response","31","2.0.0","50355","pgfjabr4hpf","smaller","badger","","","stimuli/30-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","32","2.0.0","51257","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","52261","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","928","image-keyboard-response","34","2.0.0","53191","pgfjabr4hpf","smaller","badger","","","stimuli/17-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","35","2.0.0","54094","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","55096","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","671","image-keyboard-response","37","2.0.0","55770","pgfjabr4hpf","smaller","badger","","","stimuli/10-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","38","2.0.0","56672","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","57675","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","616","image-keyboard-response","40","2.0.0","58293","pgfjabr4hpf","smaller","badger","","","stimuli/14-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","41","2.0.0","59196","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","60198","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","737","image-keyboard-response","43","2.0.0","60937","pgfjabr4hpf","smaller","badger","","","stimuli/15-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","44","2.0.0","61839","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","62842","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","650","image-keyboard-response","46","2.0.0","63494","pgfjabr4hpf","smaller","badger","","","stimuli/15-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","47","2.0.0","64395","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","65398","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","641","image-keyboard-response","49","2.0.0","66041","pgfjabr4hpf","smaller","badger","","","stimuli/9-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","50","2.0.0","66943","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","67947","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","729","image-keyboard-response","52","2.0.0","68678","pgfjabr4hpf","smaller","badger","","","stimuli/34-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","53","2.0.0","69580","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","70583","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1451","image-keyboard-response","55","2.0.0","72037","pgfjabr4hpf","smaller","badger","","","stimuli/11-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","56","2.0.0","72939","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","73942","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","630","image-keyboard-response","58","2.0.0","74575","pgfjabr4hpf","smaller","badger","","","stimuli/35-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","59","2.0.0","75478","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","76481","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","646","image-keyboard-response","61","2.0.0","77129","pgfjabr4hpf","smaller","badger","","","stimuli/30-Inongruent.jpg","m","","","","","left","z","false"
"","2404","html-keyboard-response","62","2.0.0","79535","pgfjabr4hpf","smaller","badger","","","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>"," ","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","80538","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","762","image-keyboard-response","64","2.0.0","81302","pgfjabr4hpf","smaller","badger","","","stimuli/19-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","65","2.0.0","82204","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","83206","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1536","image-keyboard-response","67","2.0.0","84744","pgfjabr4hpf","smaller","badger","","","stimuli/2-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","68","2.0.0","85648","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","86650","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1776","image-keyboard-response","70","2.0.0","88428","pgfjabr4hpf","smaller","badger","","","stimuli/31-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","71","2.0.0","89330","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","90333","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","810","image-keyboard-response","73","2.0.0","91144","pgfjabr4hpf","smaller","badger","","","stimuli/25-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","74","2.0.0","92046","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","93048","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1085","image-keyboard-response","76","2.0.0","94134","pgfjabr4hpf","smaller","badger","","","stimuli/9-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","77","2.0.0","95037","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","78","2.0.0","96040","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","944","image-keyboard-response","79","2.0.0","96986","pgfjabr4hpf","smaller","badger","","","stimuli/18-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","80","2.0.0","97889","pgfjabr4hpf","smaller","badger","","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","81","2.0.0","98892","pgfjabr4hpf","smaller","badger","","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
