"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","772","fullscreen","0","null","1789","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","","","","","","","","",""
"","1444","html-keyboard-response","1","2.0.0","3234","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4237","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","This trial will be in fullscreen mode.","null","","","","","","",""
"","16043","survey-text","3","2.0.0","20283","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","","{""participant_id"":""shark""}","","","","","","",""
"","2280","html-keyboard-response","4","2.0.0","22565","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","22575","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","23587","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","2156","image-keyboard-response","7","2.0.0","25745","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/10-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","26648","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","27654","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","990","image-keyboard-response","10","2.0.0","28644","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/14-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","11","2.0.0","29552","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","30557","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","738","image-keyboard-response","13","2.0.0","31296","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/2-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","32202","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","33209","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","832","image-keyboard-response","16","2.0.0","34044","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/29-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","17","2.0.0","34954","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","35959","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","609","image-keyboard-response","19","2.0.0","36569","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/19-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","37481","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","38486","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","750","image-keyboard-response","22","2.0.0","39237","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/34-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","40150","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","41167","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","691","image-keyboard-response","25","2.0.0","41859","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/27-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","26","2.0.0","42769","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","43781","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","641","image-keyboard-response","28","2.0.0","44422","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/20-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","29","2.0.0","45335","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","46349","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","435","image-keyboard-response","31","2.0.0","46785","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/18-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","32","2.0.0","47687","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","48688","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","473","image-keyboard-response","34","2.0.0","49163","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/34-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","35","2.0.0","50068","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","51070","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","668","image-keyboard-response","37","2.0.0","51738","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/16-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","38","2.0.0","52653","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","53659","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","407","image-keyboard-response","40","2.0.0","54068","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/16-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","41","2.0.0","54983","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","55986","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","683","image-keyboard-response","43","2.0.0","56670","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/3-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","44","2.0.0","57578","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","58584","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","504","image-keyboard-response","46","2.0.0","59089","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","stimuli/36-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","47","2.0.0","59998","pm9rorbldaw","bigger","shark","Does our inherit knowledge on an item effect our decision making skills","","<p>Correct!</p>","null","","","","","","",""
