"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","6964","fullscreen","0","null","7977","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","","","","","","","","",""
"","1320","html-keyboard-response","1","2.0.0","9298","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","643","html-keyboard-response","2","2.0.0","9942","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","This trial will be in fullscreen mode."," ","","","","","","",""
"","1540","survey-text","3","2.0.0","11486","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","","{""participant_id"":""axolotl""}","","","","","","",""
"","5555","html-keyboard-response","4","2.0.0","17041","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","18444","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","19454","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","606","image-keyboard-response","7","2.0.0","20063","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","stimuli/8-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","20975","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","21987","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","736","image-keyboard-response","10","2.0.0","22725","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","stimuli/23-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","23637","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","24644","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","782","image-keyboard-response","13","2.0.0","25427","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","stimuli/22-Inongruent.jpg","z","","","","","right","m","false"
"","null","html-keyboard-response","14","2.0.0","30432","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<p>Incorrect.</p><p>Remember to select the <b>bigger</b> image.</p><p>Continuing in 5 seconds...</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","31441","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","937","image-keyboard-response","16","2.0.0","32379","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","stimuli/27-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","33283","puza1jfd4px","bigger","axolotl","to test whether inconcruent and congurnet affected reaction times. ","no","<p>Correct!</p>","null","","","","","","",""
