"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1019","fullscreen","0","null","2030","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","","","","","","","","",""
"","1401","html-keyboard-response","1","2.0.0","3432","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","Welcome to the Size Stroop experiment. Press any key to begin.","d","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","4443","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","3453","survey-text","3","2.0.0","7899","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","","{""participant_id"":""A17689315""}","","","","","","",""
"","6213","html-keyboard-response","4","2.0.0","14112","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>","m","","","","","","",""
"true","","preload","5","2.0.0","14604","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","15613","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","528","image-keyboard-response","7","2.0.0","16145","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","stimuli/11-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","17047","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","18063","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","468","image-keyboard-response","10","2.0.0","18532","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","stimuli/16-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","19435","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","20451","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","459","image-keyboard-response","13","2.0.0","20911","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","stimuli/13-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","21826","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","22840","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","409","image-keyboard-response","16","2.0.0","23250","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","stimuli/27-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","24152","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","25166","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","423","image-keyboard-response","19","2.0.0","25590","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","stimuli/8-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","26491","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","27507","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","413","image-keyboard-response","22","2.0.0","27922","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","stimuli/36-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","28830","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","29845","pv2ysadqlm6","smaller","A17689315","Check perception times?","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
