"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","4868","fullscreen","0","null","5881","pwka4tvygb7","bigger","gazelle","disability","no","","","","","","","","",""
"","4562","html-keyboard-response","1","2.0.0","10443","pwka4tvygb7","bigger","gazelle","disability","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","11450","pwka4tvygb7","bigger","gazelle","disability","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","2912","survey-text","3","2.0.0","14365","pwka4tvygb7","bigger","gazelle","disability","no","","{""participant_id"":""gazelle""}","","","","","","",""
"","1151194","html-keyboard-response","4","2.0.0","1165543","pwka4tvygb7","bigger","gazelle","disability","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","1165879","pwka4tvygb7","bigger","gazelle","disability","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","1166894","pwka4tvygb7","bigger","gazelle","disability","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","720","image-keyboard-response","7","2.0.0","1167616","pwka4tvygb7","bigger","gazelle","disability","no","stimuli/33-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","1168532","pwka4tvygb7","bigger","gazelle","disability","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","1169537","pwka4tvygb7","bigger","gazelle","disability","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","513","image-keyboard-response","10","2.0.0","1170050","pwka4tvygb7","bigger","gazelle","disability","no","stimuli/26-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","1170963","pwka4tvygb7","bigger","gazelle","disability","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","1171977","pwka4tvygb7","bigger","gazelle","disability","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","481","image-keyboard-response","13","2.0.0","1172459","pwka4tvygb7","bigger","gazelle","disability","no","stimuli/14-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","14","2.0.0","1173370","pwka4tvygb7","bigger","gazelle","disability","no","<p>Correct!</p>","null","","","","","","",""
