"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","2153","fullscreen","0","null","3156","py5b20xboc1","bigger","falcon","Attention span","No","","","","","","","","",""
"","2382","html-keyboard-response","1","2.0.0","5539","py5b20xboc1","bigger","falcon","Attention span","No","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","6543","py5b20xboc1","bigger","falcon","Attention span","No","This trial will be in fullscreen mode.","null","","","","","","",""
"","8026","survey-text","3","2.0.0","14574","py5b20xboc1","bigger","falcon","Attention span","No","","{""participant_id"":""falcon""}","","","","","","",""
"","31528","html-keyboard-response","4","2.0.0","46103","py5b20xboc1","bigger","falcon","Attention span","No","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","46357","py5b20xboc1","bigger","falcon","Attention span","No","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","47359","py5b20xboc1","bigger","falcon","Attention span","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","6141","image-keyboard-response","7","2.0.0","53504","py5b20xboc1","bigger","falcon","Attention span","No","stimuli/18-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","54408","py5b20xboc1","bigger","falcon","Attention span","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","55411","py5b20xboc1","bigger","falcon","Attention span","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1444","image-keyboard-response","10","2.0.0","56857","py5b20xboc1","bigger","falcon","Attention span","No","stimuli/4-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","57759","py5b20xboc1","bigger","falcon","Attention span","No","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","58763","py5b20xboc1","bigger","falcon","Attention span","No","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","913","image-keyboard-response","13","2.0.0","59678","py5b20xboc1","bigger","falcon","Attention span","No","stimuli/28-Inongruent.jpg","m","","","","","right","m","true"
